Author,Review,Profession,Date,NumberOfStars
Алексей,"Крайне странный уровень сервиса при продаже не самых бюджетных автомобилей. Все можно понять, что клиентов много, а менеджеров не хватает - но по нескооько дней стоять в очереди на тест драйв,ожидать звонка и в итоге звонить самому - наверное это уже слишком. Принять решение и купить машину здесь - думаю, что весьма сомнительное мероприятие, сложно представить, что будет происходить, если будут какие-то проблемы с автомобилем.Единственный плюс салона - сами автомобили, но сам процесс обслуживания клиентов «мягко говоря» не особо настроен на продажу.",Знаток города 2 уровня,11 августа 2019,1
Михаил Мягков,"Ребята, что с вами случилось? Такое ощущение что либо руководство сменилось, либо директор в отпуске. Кофе клиентам больше не дают, такси тоже. Пофигизм и хамство выросло в несколько раз. Дозвониться невозможно. Это не есть путь к успеху.",Знаток города 6 уровня,28 ноября 2019,1
Aleksandr B.,"Обслуживаем здесь машину. Очень хороший сервис. Вежливый и отзывчивый персонал, удобное расположение. Для клиентов предоставляют бесплатное такси.",Знаток города 15 уровня,21 сентября 2019,5
Саша Ш.,"Красили машину 10 дней назад в ходе эксплуатации авто, на бампере появилось множество сколов ,от мелких камней ...от сюда вывод что красили не качественно !!! Будем разбираться дальше (((((",Знаток города 3 уровня,17 марта,1
Елизавета Д.,"Ужасное отношение! Заехали в салон 22.02.2020 никто нас не встретил , не поздоровался. Машин стоит 5 моделей. Менеджеры ходили рядом, охранник «сверлил» глазами. Полное чувство дискомфорта! Я разочарована...",Знаток города 2 уровня,22 февраля,1
павел а.,"сервис на нулевом уровне даже на стадии записи туда ,для того что бы попасть в сервис нужно простоять на стойке регистрации мин 20 в ожидании «ответственного «сотрудника который где то находится но не известно где ,да и дозвониться до сервиса не так то просто ,всегда заняты чем то ,не понимаю для чего оставлять номер телефона когда все равно не перезванивают ......все положительные отзывы видимо оставленны заинтерисованными лицами ......",Знаток города 2 уровня,4 августа 2019,1
Петр С.,Самый лучший салон и сервис в НН! Ребята знают своё дело на 5+! Всегда рад увидеть их снова.,Знаток города 7 уровня,20 января,5
АЛЕКСЕЙ З.,Нужно что-то делать с клиентской зоной. Мебель поудобнее и телевизор с тв каналами.,Знаток города 5 уровня,18 января,3
Волкова В.,Сервис высокого уровня. В время ожидания предлагают кофе и бесплатное такси до дома.,Знаток города 2 уровня,8 февраля,5
Евгений П.,"Два раза делал ТО на гарантийном автомобиле. Претензий нет, все было выполнено в срок, косяков не заметил.",Знаток города 8 уровня,18 февраля,5
Wha?!,Всё в порядке. Не первый авто тут покупаю и обслуживаю. Для покупки и экспертной консультации рекомендую Евгения. 20 баллов по 10 бальной. Если сервис - то Роман.,Знаток города 11 уровня,13 июня 2019,5
